StreetAddress	City	State	ZipCode
Hardenbergstraße 57	Altenglan	RP	66885
An der Schillingbrucke 42	Hüttlingen	BW	73460
Straße der Pariser Kommune 57	Köln Nippes	NW	50735
Brandenburgische Straße 7	Berlin Kreuzberg	BE	10961
An der Schillingbrucke 69	Hochdorf	BW	88454
Konstanzer Strasse 16	Dammbach	BY	63874
Unter den Linden 17	Neubrandenburg	MV	17008
Park Str. 76	Solingen Höhscheid	NW	42659
Lützowplatz 40	Holzerath	RP	54316
Pappelallee 57	Erlbach-Kirchberg	SN	09385
Waldowstr. 52	Dörzbach	BW	74677
Inge Beisheim Platz 98	Hoisdorf	SH	22955
Flotowstr. 80	Bernburg	ST	06406
Amsinckstrasse 29	Glashütte	BY	92690
Bayreuther Strasse 68	Reutlingen Innenstadt	BW	72762
Amsinckstrasse 18	Peitz	BB	03181
An der Schillingbrucke 4	Nellingen	BW	89191
Esplanade 13	Pentling	BY	93078
Frankfurter Allee 23	Neu-Ulm	BY	89211
Feldstrasse 9	Badingen	ST	39579
Pohlstrasse 71	Windhausen	NI	37539
Prager Str 18	Kranzberg	BY	85402
Eichendorffstr. 30	Beuron	BW	88631
Jahnstrasse 80	Maitenbeth	BY	83558
Kurfuerstendamm 6	Gräfelfing	BY	82159
Reeperbahn 13	Bartelshagen II	MV	18314
Hallesches Ufer 8	Weiskirchen	SL	66709
Luebecker Strasse 77	Wattendorf	BY	96196
Lietzenburger Straße 86	Haselünne	NI	49740
Ufnau Strasse 16	Marktoberdorf	BY	87612
Jahnstrasse 55	Wurmsham	BY	84189
Karl-Liebknecht-Strasse 18	Sottrum	NI	27367
Chausseestr. 65	Quickborn	SH	25442
Sonnenallee 74	Augsburg	BY	86044
Esplanade 46	Altenthann	BY	93177
Oldesloer Strasse 59	Allendorf	RP	56370
Bleibtreustrasse 47	Paderborn Sande	NW	33104
Joachimstaler Str. 46	Holzhausen an der Haide	RP	56357
Heiligengeistbrücke 23	Gunzenhausen	BY	91702
Fontenay 61	Münchberg	BY	95205
Sonnenallee 10	Hallbergmoos	BY	85399
Unter den Linden 96	Schwerin	MV	19003
Flotowstr. 48	Lutherstadt Wittenberg	ST	06871
Gotzkowskystraße 75	Moers	NW	47445
Rosenstrasse 14	München	BY	81619
Park Str. 84	Köln Chorweiler	NW	50769
Bleibtreustraße 65	Bad Säckingen	BW	79713
Güntzelstrasse 48	Gusenburg	RP	54413
Rohrdamm 3	Bad Salzuflen Werl-Aspe	NW	32107
Prenzlauer Allee 60	Halle	ST	06002
Waldowstr. 98	Wört	BW	73499
Rudolstaedter Strasse 87	Aschaffenburg	BY	63736
Ufnau Strasse 23	Kaufbeuren	BY	87586
Schaarsteinweg 31	Wackersdorf	BY	92442
Paul-Nevermann-Platz 93	Schondra	BY	97795
Gotzkowskystrasse 11	Schöneberg	RP	57638
Heiligengeistbrücke 40	Heilsbronn	BY	91557
Rankestraße 13	Pfaffenhofen	BY	85262
Bayreuther Strasse 92	Reutlingen Südstadt	BW	72766
Ellmenreichstrasse 56	Presseck	BY	95353
Ruschestrasse 41	Halberstadt	ST	38803
Schoenebergerstrasse 85	Bernsbach	SN	08315
Messedamm 15	Halle	ST	06021
Koenigstrasse 1	Ebersdorf	TH	07367
Hochstrasse 23	Braderup	SH	25923
Genslerstraße 17	Berlin Wilmersdorf	BE	10713
Brandenburgische Str. 16	Pliezhausen	BW	72124
Frankfurter Allee 58	Freiburg Innenstadt	BW	79098
Paul-Nevermann-Platz 95	Mellrichstadt	BY	97634
Neue Roßstr. 51	Esslingen Berkheim	BW	73734
Waldowstr. 30	Bühlerzell	BW	74426
Messedamm 2	Halle	ST	06042
Holstenwall 54	Selbitz	BY	95148
Brandenburgische Strasse 57	Annweiler am Trifels	RP	76855
Frankfurter Allee 2	Karlsruhe Innenstadt	BW	76131
Genslerstraße 48	Berlin Tempelhof	BE	12109
Lange Strasse 66	München	BY	81708
Billwerder Neuer Deich 74	Estenfeld	BY	97230
Schönhauser Allee 60	Breisach	BW	79206
Ollenhauer Str. 86	Stuttgart Stuttgart Flughafen	BW	70629
Fasanenstrasse 96	Hamburg Klostertor	HH	20457
Ufnau Strasse 88	Kaufbeuren	BY	87588
Eschenweg 96	Ilmenau	TH	98684
Gotzkowskystraße 87	Soest	NW	59494
Waldowstr. 43	Stödtlen	BW	73495
Flughafenstrasse 67	Oberviechtach	BY	92522
Frankfurter Allee 94	Freiburg Stadt	BW	79100
Pohlstrasse 47	Gittelde	NI	37534
Am Borsigturm 60	Wülfrath	NW	42489
Rudower Chaussee 35	Lübeck	SH	23554
Park Str. 54	Düsseldorf Unterbilk	NW	40217
Ellmenreichstrasse 76	Kulmbach	BY	95308
Rosenstrasse 28	München	BY	81605
Hardenbergstraße 49	Kappeln	SH	24371
Prager Str 25	Freising	BY	85319
Hoheluftchaussee 24	Engelsdorf	SN	04436
Prenzlauer Allee 79	Leipzig	SN	04029
Bissingzeile 75	Helgoland	SH	27485
Ruschestrasse 84	Wismar	MV	23953
Grosse Praesidenten Str. 16	Limbach	BW	74838
